grade,emp_length_bucket,n,default_rate
A,< 1 year,5021,0.0619398526190002
A,1-3 years,15201,0.06611407144266825
A,4-6 years,10608,0.06108597285067873
A,7-9 years,7817,0.06575412562364079
A,10+ years,24005,0.06581962091230993
B,< 1 year,8888,0.15537803780378037
B,1-3 years,27520,0.15864825581395348
B,4-6 years,18763,0.1508287587272824
B,7-9 years,13146,0.154419595314164
B,10+ years,38950,0.14382541720154043
C,< 1 year,8785,0.26272054638588505
C,1-3 years,27435,0.2583561144523419
C,4-6 years,18396,0.2511959121548163
C,7-9 years,12716,0.24284366152878264
C,10+ years,36709,0.23509221171919692
D,< 1 year,4355,0.3510907003444317
D,1-3 years,13432,0.35348421679571174
D,4-6 years,8984,0.34227515583259127
D,7-9 years,6152,0.3493172951885566
D,10+ years,17945,0.3241014210086375
E,< 1 year,1880,0.44680851063829785
E,1-3 years,5862,0.43858751279426816
E,4-6 years,4101,0.43355279200195074
E,7-9 years,2846,0.4244553759662684
E,10+ years,7932,0.41074130105900153
F,< 1 year,650,0.5230769230769231
F,1-3 years,2095,0.5241050119331743
F,4-6 years,1416,0.5141242937853108
F,7-9 years,1033,0.5256534365924492
F,10+ years,2838,0.514446793516561
G,< 1 year,175,0.46285714285714286
G,1-3 years,571,0.5901926444833625
G,4-6 years,412,0.5970873786407767
G,7-9 years,272,0.5551470588235294
G,10+ years,735,0.563265306122449
