income_band,emp_length_bucket,n,default_rate
1,< 1 year,10311,0.25962564251769954
1,1-3 years,29163,0.2555635565613963
1,4-6 years,17243,0.24879661311836687
1,7-9 years,10452,0.25899349406812094
1,10+ years,22243,0.24929191206222182
2,< 1 year,6747,0.22661923817993182
2,1-3 years,22819,0.23892370393093476
2,4-6 years,15818,0.23909470223795676
2,7-9 years,11430,0.236745406824147
2,10+ years,32598,0.22240628259402417
3,< 1 year,6257,0.22087262266261787
3,1-3 years,20164,0.22510414600277723
3,4-6 years,14851,0.213857652683321
3,7-9 years,11113,0.20813461711509043
3,10+ years,37026,0.20558526440879382
4,< 1 year,6439,0.18667494952632396
4,1-3 years,19970,0.1887330996494742
4,4-6 years,14768,0.1813380281690141
4,7-9 years,10987,0.17811959588604714
4,10+ years,37247,0.1705640722742771
