term,estimate,std.error,statistic,p.value
gradeD,11.673898794753834,0.0050311396372529574,2320.3289187830765,0
gradeE,16.019693339328345,0.007184104835413019,2229.880229525821,0
gradeC,7.090417522186741,0.004143016618772028,1711.414212064713,0
gradeF,19.29479842882066,0.012452903839996199,1549.4216189841347,0
gradeG,21.948646716650828,0.0240798169526443,911.4955798798362,0
gradeB,3.5009628787193394,0.004013896951683117,872.2104530489521,0
age_proxy,-0.009421633502488804,2.025439776097546e-4,-46.516483055554716,0
dti_clean,0.006905213515017909,1.5561748111780218e-4,44.37299373706398,0
verification_statusVerified,0.09900111663492368,0.003927933593196662,25.204376368887086,4.0014913394361916e-140
verification_statusSource Verified,0.05867934752376847,0.0032940135287371315,17.81393640671085,5.662552951895431e-71
emp_length_num,-0.0043156711541631415,3.896577498912444e-4,-11.075542974232308,1.6556082376539974e-28
log1p(annual_inc),-0.02272596655731014,0.00281075832036636,-8.08535063034092,6.205945908291414e-16
