addr_state,n,default_rate,rank
AR,2860,0.2762237762237762,1
LA,4187,0.2679722951994268,2
MS,2402,0.2668609492089925,3
OK,3570,0.26638655462184874,4
AL,4700,0.2629787234042553,5
NE,1896,0.25738396624472576,6
NY,30005,0.25235794034327613,7
MD,8719,0.24108269296937723,8
FL,28417,0.2402435162050885,9
MO,5990,0.23973288814691152,10
NJ,13263,0.23953856593530876,11
PA,12339,0.237539508874301,12
SD,781,0.23687580025608196,13
KY,3720,0.23548387096774193,14
NV,5962,0.23431734317343172,15
AK,834,0.23381294964028776,16
HI,1794,0.23355629877369008,17
NC,11015,0.2330458465728552,18
IN,6745,0.23246849518161602,19
NM,2080,0.23125,20
OH,12551,0.23010118715640188,21
TX,32383,0.22783559274928203,22
MN,6755,0.22561065877128053,23
CA,53837,0.2247339190519531,24
MI,10233,0.22407896022671747,25
TN,6468,0.22371675943104516,26
DE,1092,0.2206959706959707,27
VA,10226,0.21963622139644046,28
MA,8739,0.216958462066598,29
IL,14266,0.21421561755222207,30
WY,765,0.2130718954248366,31
AZ,9802,0.21230361150785554,32
GA,12553,0.207918425874293,33
WI,5119,0.2008204727485837,34
ND,933,0.20042872454448016,35
RI,1655,0.19214501510574017,36
ID,1010,0.1891089108910891,37
KS,3009,0.18610834164174145,38
CT,5362,0.1855650876538605,39
SC,4696,0.18249574105621805,40
MT,1055,0.1819905213270142,41
WA,7896,0.1736322188449848,42
UT,2913,0.17336079642979746,43
CO,8582,0.17175483570263342,44
NH,1808,0.16261061946902655,45
WV,940,0.16063829787234044,46
VT,770,0.15324675324675324,47
OR,4366,0.1488776912505726,48
ME,1259,0.1437648927720413,49
DC,880,0.1409090909090909,50
