sub_grade,n,default_rate
A1,16125,0.03913178294573644
A2,10725,0.05780885780885781
A3,10427,0.06473578210415268
A4,13931,0.08391357404350011
A5,15678,0.09618573797678276
B1,20726,0.12124867316414166
B2,21089,0.13016264403243397
B3,22178,0.1510055009468843
B4,24469,0.1735256855613225
B5,26323,0.19317706948296168
C1,26183,0.21815681931023947
C2,22717,0.23731126469164063
C3,21435,0.2547702355959879
C4,21894,0.27829542340367225
C5,19225,0.28977893368010404
D1,14005,0.317672259907176
D2,12725,0.33587426326129666
D3,10174,0.3570866915667387
D4,9748,0.36622897004513744
D5,8231,0.3750455594702952
E1,6449,0.41587843076445963
E2,4965,0.4259818731117825
E3,4950,0.42787878787878786
E4,4124,0.44107662463627545
E5,3814,0.45673833245936024
F1,2718,0.4768211920529801
F2,1923,0.5392615704628185
F3,1543,0.5346727154893065
F4,1257,0.543357199681782
F5,1126,0.5746003552397868
G1,760,0.5421052631578948
G2,549,0.5610200364298725
G3,435,0.5701149425287356
G4,327,0.6697247706422018
G5,254,0.5748031496062992
